No.,Temple Name,Type,Temple Address,Villages,Districts,Regency,Province,Pos code,Latitude,Longitude
5154,Pura Subak Tegal Muara,Pura Subak,"Pegayaman, Sukasada, Buleleng, Bali, 82191",Pegayaman,Sukasada,Buleleng,Bali,82191,-8.2454871,115.1716019
5155,Pura Subak Ulun Suwi,Pura Subak,"Desa Adat Timbrah, Pertima, Karangasem, Karangasem, Bali, 80851",Pertima,Karangasem,Karangasem,Bali,80851,-8.4749905,115.6016055
5156,Pura Subak/Subak Abian Ayodhya Pura Desa Selat,Pura Subak,"Selat, Sukasada, Buleleng, Bali, 81161",Selat,Sukasada,Buleleng,Bali,81161,-8.1860535,115.0661613
5157,Pura Suci,,"Jl. Lettu Wayan Sutha I, Sukawati, Sukawati, Gianyar, Bali, 80582",Sukawati,Sukawati,Gianyar,Bali,80582,-8.5911771,115.2802627
5158,Pura Suci,,"Jl. Raya Sayan, Sayan, Ubud, Gianyar, Bali, 80571",Sayan,Ubud,Gianyar,Bali,80571,-8.5145145,115.2403734
5159,Pura Suci Wanagiri Dalem Tarukan,,"Unnamed Road, Tianyar, Kubu, Karangasem, Bali, 80853",Tianyar,Kubu,Karangasem,Bali,80853,-8.204058,115.499894
5160,Pura Suci Wanagiri Dalem Tarukan,,"Banjar Eka Adnyana, Pedawa, Kubu, Karangasem, Bali",Pedawa,Kubu,Karangasem,Bali,0,-8.2284815,115.0347366
5161,pura Suci Wanagiri Dalem Tarukan,,"Tianyar, Kubu, Karangasem, Bali, 80853",Tianyar,Kubu,Karangasem,Bali,80853,-8.2038752,115.4996169
5162,Pura Sukamerih Pura Persimpangan Madura,,"Jalan Raya Payangan No.45, Payangan, Melinggih Kelod, Gianyar, Gianyar, Bali, 80572",Melinggih Kelod,Gianyar,Gianyar,Bali,80572,-8.4382488,115.2443387
5163,Pura Sukangeneb,,"Tianyar Barat, Kubu, Tianyar Barat, Karangasem, Karangasem, Bali, 80853",Tianyar Barat,Karangasem,Karangasem,Bali,80853,-8.1801297,115.4554577
5164,Pura Suksuk,,"Jl. Singaraja, Sembiran, Buleleng, Buleleng, Bali, 81119",Sembiran,Buleleng,Buleleng,Bali,81119,-8.110899,115.290675
5165,Pura Sulangai,,"Sulahan, Susut, Bangli, Bali, 80661",Sulahan,Susut,Bangli,Bali,80661,-8.4327139,115.3326222
5166,Pura Sumuh,,"Unnamed Road, Ngis, Manggis, Karangasem, Bali, 80871",Ngis,Manggis,Karangasem,Bali,80871,-8.4747208,115.5499633
5167,Pura Sumur Kembar,,"Jl. Raya Denpasar - Gilimanuk, Gilimanuk, Melaya, Jembrana, Bali, 82252",Gilimanuk,Melaya,Jembrana,Bali,82252,-8.2167383,114.4484488
5168,PURA SUNIA ADNYANANING,,"Jalan, LAMPER, Kuripan, Lombok Barat, NTB, 83362",LAMPER,Kuripan,Lombok Barat,NTB,83362,-8.6558124,116.162083
5169,Pura Suralaya Desa Adat Banda,,"Takmung, Banjarangkan, Klungkung, Bali, 80752",Takmung,Banjarangkan,Klungkung,Bali,80752,-8.5500282,115.3843161
5170,Pura Suranadi,,"Jalan Raya Suranadi - Sesaot, Selat, Narmada, Suranadi, Lombok Barat, Lombok Barat, NTB, 83371",Narmada,Suranadi,Lombok Barat,NTB,83371,-8.5704312,116.2325416
5171,Pura Suranadi Tirta Pangentas,,"Suranadi, Narmada, Lombok Barat, NTB 83371",Suranadi,Narmada,Lombok Barat,NTB ,83371,-8.5709981,116.2321289
5172,Pura Surya Candra Dadia Karanganyar Tangkas Kori Agung,,"Bebandem, Karangasem, Bali, 80861",0,Bebandem,Karangasem,Bali,80861,-8.4361258,115.5606766
5173,Pura Swadharma,,"Krajan, Gedung Gebang, Tegaldlimo, Banyuwangi, East Java 68484",Gedung Gebang,Tegaldlimo,Banyuwangi,Jawa Timur ,68484,-8.5004939,114.3284479
5174,Pura Swagina BLK,,"Pemecutan Klod, West Denpasar, Kota Denpasar, Bali, 80119",Pemecutan Klod,Denpasar Barat,Kota Denpasar,Bali,80119,-8.7053289,115.1866816
5175,Pura Swananyar,,"Banjar Tegal Sumaga, Les, Tejakula, Buleleng, Bali, 81173",Les,Tejakula,Buleleng,Bali,81173,-8.12992,115.3630583
5176,Pura Tajun,,"Jl. Raya Wanagiri, Wanagiri, Sukasada, Buleleng, Bali, 81152",Wanagiri,Sukasada,Buleleng,Bali,81152,-8.2495286,115.1101945
5177,Pura Taker (Pura Subak) Dasan Cermen,,"Dasan Cermen, Sandubaya, Mataram City, NTB 83232",Dasan Cermen,Sandubaya,Kota Mataram,NTB ,83232,-8.611679,116.129835
5178,Pura Taman,Pura Taman,"Punggul, Abiansemal, Badung, Bali, 80352",Punggul,Abiansemal,Badung,Bali,80352,-8.5011751,115.2180876
5179,Pura Taman,Pura Taman,"Unnamed Road, Yeh Embang Kauh, Mendoyo, Jembrana, Bali, 82261",Yeh Embang Kauh,Mendoyo,Jembrana,Bali,82261,-8.3291969,114.7475165
5180,Pura Taman,Pura Taman,"Pangkung Tibah, Kediri, Tabanan, Bali, 82115",Pangkung Tibah,Kediri,Tabanan,Bali,82115,-8.5970518,115.0903774
5181,Pura Taman,Pura Taman,"Unnamed Road, Duda Timur, Selat, Karangasem, Bali, 80862",Duda Timur,Selat,Karangasem,Bali,80862,-8.4523626,115.5139651
5182,Pura Taman,Pura Taman,"Penatih, East Denpasar, Kota Denpasar, Bali, 80352",Penatih,Denpasar Timur,Kota Denpasar,Bali,80352,-8.599179,115.238354
